lang,ENGLISH,RUSSIAN,ITALIAN
,"* That was really brave of you, €€€€€€Susie!","* Это было смело с твоей стороны, €€€€€€Сьюзи!","* Sei stata davvero coraggiosa, €€€€€€Susie!"
,* Yeaaaah... €€€€€€don't mention it.,* Да-а-а... €€€€€€Не парься.,* Naaaaah... €€€€€€nessun problema.
,* Let's just try not to get crushed from now on.,* Давайте просто попробуем не расплющиться по пути дальше.,* La prossima volta vediamo di prestare più attenzione.
,,,
12_1,"* Dang, €€€€€€dead end.","* Зараза, €€€€€€тупик.","* Cavolo, €€€€€€è un vicolo cieco."
,* Guess we have to find another way.,"* Судя по всему, €€€€€€надо поискать другую дорогу.",* Credo che dovremmo trovare un'altra strada.
,* It didn't look like there were any other paths we could've gone.,"* Не похоже, €€€€€что здесь есть какие-либо другие пути.",* Non vedo altri modi per arrivare lassù.
,"* Kris, €€€€€€what do you suggest we do?","* Крис, €€€€€€что предложишь делать?","* Kris, €€€€€€che cosa dovremmo fare?"
,WE'VE GOT AN IDEA!,У НАФ ЕФТЬ ИДЕЯ!,ABBIAMO UN'IDEA!
,LOOK!,ФМАТРИТИ!,GUARDATE!
,WE'RE HIGH ENOUGH TO SEE THE BRIGHTER STARS THROUGH THE SMOG.,"МЫ ДОФТАТОТФЬНО ВЫФОКО, ФТОБЫ ВИДЕТЬ ЗВЁЗДЫ ФКОФЬ ФМОГ.",DA QUI POFFIAMO VEDERE LE FTELLE ATTRAVERFO LO FMOG!
,"IF YA REALLY NEED IT, €€€€€€AND USE AAALLLL OF YOUR HEART...","ЕФЛИ ТЕБЕ ЭТО ПРАВДА НУВНО, €€€€€€И ПОВЕЛАЕФЬ ВФЕЕЕЕЕМ ФЕРДТФЕМ...",E FE CI CREDIAMO CON TUUUTTO IL CUORE €€€€€€POTREMO...
,A STAR €€€€€€COULD GRANT YOU A WISH!,ЗВЕЗДА €€€€€€ПОДАРИТ ТИБЕ ЖЕЛАНИЕ!,EFPRIMERE UN DEFIDERIO!
,"* Erm, €€€well, €€€€€€go on Kris! €€€€€€£* Make a wish!","* Ну, €€€€€€давай, €€€€€€Крис! €€€€€€£* Загадай желание!","* Erm, €€€beh, €€€€€€forza Kris! €€€€€€£* Esprimi un desiderio!"
,"* (As you look up at the stars, €€€€€€you felt something strange.)","* (Смотря на звёзды, €€€€€€вы чувствуете нечто странное.)","* (Guardando le stelle nel cielo, €€€€€€senti qualcosa di strano.)"
,* (It was as if...),* (Будто...),* (Come se...)
,* (Your very SOUL €€€€€€€€€€€€was glowing...),* (Ваша ДУША €€€€€€€€€€€€засияла...),* (La tua ANIMA €€€€€€€€€€€€stesse splendendo...)
,* ...,* ...,* ...
,* Well that was a bust.,"* Что ж, вот облом.",* Che perdita di tempo.
,"* WAIT, €€€€€€it actually worked?","* ПОГОДИ, €€€€€€это правда сработало?",* COSA?! €€€€€€Ha davvero funzionato?
,DOOHOHOH! €€€€€€IT THEEMTH YOUR WISH HATH BEEN BLETHHED!,"ВУУХУХУХ! €€€€€€ПОХОВЕ, ТВОЁ ЖЕЛАНИЕ ФБЫЛОФЬ!",DOOHOHOH! €€€€€€CREDO CHE IL TUO DEFIDERIO FI FIA AVVERATO!
,THAT GAP SHOULD BE A EATHY NOW!,ТЕПЕРЬ ТЫ Ф ЛЕГКОФТЬЮ ПЕРЕПРЫГНЕФ ЭТОТ ОБРЫФ!,POFFIAMO CONTINUARE!
,* Okay my turn! €€€€€€€€€,"* Ладно, €€€€€€мой ход! €€€€€€€€€",* OK tocca a me!
,"HOLD UP THOOTHIE, €€€€€€WE HAVE DIFFERENT IDEA.","ПОДОВДИ, ФЬЮВИ, €€€€€€У НАФ ДРУГАЯ ИДЕЯ.","AFPETTA FUFIE, €€€€€€ABBIAMO UN'ALTRA IDEA."
,"* HELL YEAH, €€€€€€ride like the wind!","* НИШТЯК, €€€€€€мчись, €€€€€€как ветер!","* Oh SÌ, €€€€€€ora sì che si ragiona!"
,* YEEEEHAAAAAW!!!!!!!!!,* ИИИИИ-ХАААААА!!!!!!!!!,* YEEEEHAAAAAW!!!!!!!!!
,"* Well, €€€€€€I'll see you up ahead, €€€€€€€€€€€€Kris.","* Ну, €€€€€€увидимся наверху, €€€€€€€€€€€€Крис.","* Beh, €€€€€€ti aspetterò in cima, €€€€€€€€€€€€Kris."
,,,
12_2,I WISH FOR 500 HOTCAKES!!!,Я ЖЕЛАЮ 5000 ПЕЛЬМЕНЕЙ!!!,DESIDERO UN FIUME DI TORTE!!!
,,,
13_1,"C'MON KRIS, €€€€€€WE JUST KNOW YOU CAN MAKE IT!","ДАВАЙ, €€€КРИС, €€€МЫ ВНАЕМ, €€€€€€У ТЕБЯ ПОЛУТФИТФЯ!","EDDAI KRIF, €€€€€€FAPPIAMO CHE CE LA PUOI FARE!"
,WE'RE ALMOST THERE!,МЫ ПОТФТИ У ТФЕЛИ!,CI FIAMO QUAFI!
,,,
14_1,* Glad everyone made it up safely!,"* Благо, €€€€€€все бесопасно добрались!",* Finalmente siamo arrivati in cima!
,"* THAT WAS AWESOME, €€€€€€LET'S DO IT AGAIN!","* ЭТО БЫЛО ОФИГЕННО, €€€€€€ДАВАЙ ЕЩЁ РАЗ!","* È STATO UNO SBALLO, €€€€€€FACCIAMOLO DI NUOVO!"
,"* Remember our task at hand, €€€€€€Susie.","* Помни о нашем задании, €€€€€€Сьюзи.","* Abbiamo un lavoro da fare, €€€€€€Susie."
,"* We're here to free Sockswald's people, €€€€€€remember?","* Мы здесь, €€€€€€чтобы освободить народ Носоксвальда, €€€€€€помнишь?","* Dobbiamo liberare il popolo di Sockswald, €€€€€€ricordi?"
,AND GET OUR MEMORIETH BACK!,И ВЕРНУТЬ НАФИ ВОФПОМИНАНИЯ!,E RIPRENDERE I NOFTRI RICORDI!
,* Oh... €€€right.,* А... €€€Да.,* Oh... €€€€€€giusto.
,OH IT'TH OKAY €€€€€€THOOTHIE!,"О, НЕ ПЕРЕВИВАЙ €€€€€€ФЬЮВИ!",OH TRANQUILLA €€€€€€FUFIE!
,IT'TH NOT LIKE YOU'LL NEVAH SEE UTH AGAIN AFTER WE'RE DONE!,МЫ ВЕ ПОТОМ ЕФЁ УВИДИМФЯ!,AVREMO FICURAMENTE DEL TEMPO PER DIVERTICI PIÙ TARDI!
,* Well what're we waiting for?,* Так чего мы ждём?,* Beh allora che stiamo aspettando?
,* It's a straight road to the finish line now.,* Вот и дорога до финишной линии.,* Adesso possiamo tranquillamente fiondarci laggiù.
,* Let's smash this thing!!!,* Погнали!!!,* Distruggiamolo e basta!
,"HOLD YOUR HORTHETH THERE, €€€€€€PARTNER.","ПРИДЕРВИ-КА КОНЕЙ ВДЕФЬ, €€€€€€ПАРТНЁР.","AFPETTA UN FECONDO, €€€€€€FUFIE."
,WE NEED TO DO THIS LATHT BIT €€€€€€€€€€€€ALONE.,НАМ НУВНО ПРОЙТИ ЭТОТ КУФОТФЕК €€€€€€€€€€€€ФАМИМ.,DOBBIAMO OCCUPARCENE DA FOLI.
,* ...€€€€€€€€€Alone?,* ...€€€€€€€€€Самим?,* ...€€€€€€€€€Da solo?
,* You're joking right?,"* Ты шутишь, €€€€€€да?",* Stai scherzando vero?
,* We're not leaving you all by yourself! €€€€€€£* That's insane!,* Ты не пойдёшь один! €€€€€€£* Это бред!,* Non ti lasceremo andare per conto tuo! €€€€€€£* Sei impazzito?!
,* Right Kris?,"* Да, €€€€€€Крис?",* Giusto Kris?
,* ...€€€€€€€€€Ralsei?,* ...€€€€€€€€€Ральзей?,* ...€€€€€€€€€Ralsei?
,"* What's the matter,€€€€€€ Sockswald?","* В чём дело,€€€€€€ Носоксвальд?","* Qual è il problema, €€€€€€Sockswald?"
,* We're a team. €€€€€€Why do this alone?,* Мы же команда. €€€€€€Зачем идти одному?,* Siamo una squadra. €€€€€€£* Perché vuoi andare da solo?
,WELL...,НУ...,ECCO...
,"WE ALWAYTH WANTED TO COME HERE ON OUR OWN, €€€€€€BUT...","МЫ ВФЕГДА ХОТЕЛИ ПРИЙТИ ФЮДА ФАМИ, €€€€€€НО...",ABBIAMO FEMPRE SOGNATO DI ARRIVARE QUAFFÙ DA SOLI...
,WE WERE TOO MUCH OF A COWARD BACK THEN...,МЫ ФЛИФКОМ ТРУФИЛИ...,MA ABBIAMO FEMPRE AVUTO PAURA...
,"BUT THEN YOU THREE CAME ALONG, €€€€€€AND GAVE US THTRENGTH!","НО ПОТОМ ВЫ ТРОЕ ПРИФЛИ, €€€€€€И УФИЛИЛИ НАФ!","MA POI FIETE ARRIVATI VOI, €€€€€€E CI AVETE DATO CORAGGIO!"
,"YOUR COURAGE €€€€€€BECAME OURS, €€€€€€WE CAN TOP ANYTHING TOGETHUH!","ВАФА ОТВАГА €€€€€€ФТАЛА НАФЕЙ, €€€€€€ВМЕФТЕ МЫ ПЕРЕФИЛИМ ВФЁ!","E GRAFFIE A QUESTO CORAGGIO, €€€€€€POFFIAMO FARE QUALUNQUE COFA!"
,BUT WE STILL WANNA PROVE OURTHELVETH...,НО НАМ ВФЁ ЕФЁ НУВНО ДОКАЗАТЬ ФАМИМ ФЕБЕ...,E ANCHE GRAFFIE A QUEFTO CORAGGIO...
,"THAT WE CAN DO THIS ON OUR OWN, €€€€€€TOO!","ФТО МЫ И ФАМИ МОЖЕМ ЭТО ФДЕЛАТЬ, €€€€€€ТОЖЕ!",FAPPIAMO DI POTERCELA FARE DA FOLI!
,THAT WE'VE REALLY GAINED COURAGE.,ФТО МЫ И ВПРАВДУ ФТАЛИ ОТВАЖНЕЕ.,FIAMO PIÙ FORTI CHE MAI!
,"* I think they're right, €€€€€€Susie... €€€€€€£* Let's sit this one out.","* Думаю, €€€€€€он прав, €€€€€€Сьюзи... €€€€€€£* Давай просто посидим здесь.","* Ha ragione, €€€€€€Susie... €€€€€€£* Facciamo fare a lui."
,* For them!,* Ради него!,* Così può finalmente superare le sue paure!
,* ...€€€€€€I guess.,* ...€€€€€€Ладно.,* ...€€€€€€Se lo dici tu.
,* But...,* Но...,* Però...
,"* Just be careful, €€€€€€alright?","* Просто будь аккуратнее, €€€€€€хорошо?","* Cerca solo di fare attenzione, €€€€€€d'accordo?"
,* Being alone €€€€€€€€€sucks.,* Быть одному €€€€€€€€€отстой.,* Stare da soli è orribile.
,DON'T WORRY THOOTHIE!,"НЕ ВОЛНУЙФЯ, ФЬЮВИ!",NON PREOCCUPARTI FUFIE!
,WE'RE NEVER ALONE!,МЫ НИКОГДА НЕ ОДНИ!,NON FIAMO MAI FOLI!
,* ...,* ...,* ...
,* ...!,* !..,* ...!
,,,
15_0,Hope so,Надеюсь,Lo spero
,Don't care,Не волнует,Non mi importa
,Sure,Конечно,Hai ragione
,Really don't care,Правда не волнует,Non mi importa davvero
,,,
15_1,* ...,* ...,* ...
,"* It sure has been a while, €€€€€€hasn't it?",* Прошло уже много времени...,* Ci sta mettendo molto tempo.
,"* Kris, €€€€€€do you think Sockswald's doing alright up there?","* Крис, €€€€€€думаешь, €€€€€€Носоксвальд в порядке?         ","* Kris, €€€€€€credi che Sockswald stia bene?"
,,,
15_2,* Well then... €€€€€€why don't we close our eyes...,* Что ж... €€€€€€Почему бы нам не закрыть глаза...,* Allora... €€€€€€chiudiamo gli occhi...
,* ...And think about what they're doing now?,"* И подумать о том, €€€€€€что он сейчас делает?",* ...E pensiamo a ciò che sta facendo.
,,,
15_3,* ...Oh... €€€€€€€€€really?,* ...Ох... €€€€€€€€€Точно?,* ...Oh... €€€€€€€€€davvero?
,"* They could be in danger, €€€€€€or maybe already on their way back!","* Он может быть в опасности, €€€€€€или уже возвращается назад.","* Potrebbe essere in pericolo, €€€€€€oppure sta già tornando!"
,* Don't you want to think about it?,* Не хочешь подумать об этом?,* Davvero non ti importa?
,,,
15_4,"* Well... €€€€€€if you REALLY don't want to, €€€€€€that's okay!","* Ну... €€€€€€Если тебе НАСТОЛЬКО всё равно, €€€€€€ничего страшного!","* Beh... €€€€€€se DAVVERO non ti importa, €€€€€€va bene lo stesso!"
,* It probably isn't that interesting anyway.,* Вряд-ли это так уж интересно.,"* Non sarà così interessante, €€€€€€dopotutto."
,* I'm sure our pal is doing just fine!,"* Уверен, наш друг в полном порядке!",* Sono sicuro che stia benissimo!
,,,
,,,
,,,
16_1,* HOLY-,* БОЖЕ...,* MA CHE-
,* Sockswald!,* Носоксвальд!,* Sockswald!
,* What €€€€€€€€€€€€happened?,* Что €€€€€€€€€€€€случилось?,* Che è successo?
,* Did you find what you were looking for?,"* Ты нашел, что искал?",* Sei riuscito a ritrovarli?
,* Did... €€€€€€Did you get your memories back?,* Ты... €€€€€€Ты вернул свои воспоминания?,* Hai... €€€€€€hai ritrovato i tuoi ricordi?
,* ha... €€€€€€€€€ha€€€ha...,* ха... €€€€€€€€€ха€€€ха...,* ha... €€€€€€€€€ha€€€ha...
,* i... €€€€€€remem...€€€ber...,* я... €€€€€€пом...€€€ню...,* io... €€€€€€ri...€€€cordo...
,"GREAT MEMORIETH, €€€€€€HUH?","ТФЮДНЫЕ ВОФПОМИНАНИЯ, €€€€€€ДА?","BEI RICORDI, €€€€€€EH?"
,THEEMTH LIKE IT WAS ONLY YETHTERDAY...,БУДТО ЭТО БЫЛО ВТФЕРА...,RICORDO TUTTO COME FE FOFFE IERI...
,* when this cruel world split us in two.,* когда этот жестокий мир разделил нас надвое.,* quando questo mondo crudele ci divise in due.
,DOO€€€HO€€€HOH...,ВУУ€€€ХУ€€€ХУХ...,DOO€€€HO€€€HOH...
,* Quit it! €€€€€€£* You're freaking me out.,* Прекрати! €€€€€€£* Ты меня пугаешь.,* Smettila! €€€€€€£* Mi stai spaventando.
,"* If you're hurt, €€€€€€then Ralsei can-","* Если ты ранен, €€€€€€Ральзей может тебя...","* Se non stai bene, €€€€€€Ralsei può-"
,"* oh dear, €€€€€€€€€€€€dear €€€€€€€€€€€€susie...","* о, милая, €€€€€€€€€€€€милая €€€€€€€€€€€€сьюзи...","* oh cara, €€€€€€€€€€€€dolce €€€€€€€€€€€€susie..."
,* allow me €€€€€€€€€€€€€€€€€€to ask you something...,* позволь мне €€€€€€€€€€€€€€€€€€кое-что тебя спросить...,* lascia che io €€€€€€€€€€€€€€€€€€ti faccia una domanda.
,* ...,* ...,* ...
,* what is a star?,* что такое звезда?,* che cos'è una stella?
,* (no...),* (нет...),* (no...)
,* can you touch it?,* можно ли потрогать её?,* puoi toccarla?
,* Knock it off!,* Хорош уже!,* Smettila! 
,* can you eat it?,* можно ли сьесть её?,* puoi mangiarla?
,* I'm serious!,* Я не шучу! ,* Non sto scherzando!
,* can you €€€€€€€€€€€€€€€KILL €€€€€€€€€it?,* можно ли €€€€€€€€€€€€€€€УБИТЬ €€€€€€€€€её?,* puoi €€€€€€€€€€€€€€€UCCIDERLA?
,* Just who the hell do you think you are?,"* Чёрт, да кем ты себя возомнил?",* Ma chi diavolo ti credi di essere?
,* And what have you done to my friend!,* Что ты сделал с моим другом?,* E che cosa hai fatto al mio amico!
,* oh €€€€€€your friend never left...,"* о, €€€€€€твой друг и не уходил...",* oh €€€€€€il tuo amico è ancora qui...
,"* i was always there, €€€€€€restricted and debilitated.","* я всегда был здесь, €€€€€€ограничен и ослаблен.","* e mentre lui comandava, €€€€€€io ero incatenato."
,"* but now it's time to shine, €€€€€€like the illustrious star that liberated me.","* но теперь время засиять, €€€€€€как звезда, освободившая меня.","* ma ora brillerò, €€€€€€proprio come la stella che mi ha liberato."
,I-... €€€€€€€€€IT'TH €€€€€€€€SO €€€€€€€€COLD...,Т... €€€€€€€€€ТУТ €€€€€€€€ТАК €€€€€€€€ХОЛОДНО...,F-... €€€€€€€€€FA €€€€€€€€TANTO €€€€€€€€FREDDO...
,SU€€€€€€€€€€...SIE... £€€€€€€€€€€K€€€€€€€€€€RIS... £€€€€€€€€€€€€HELP€€€€€€€€€€€€€€€€€ M€€€€€E...,СЬЮ€€€€€€€€€€...ЗИ... £€€€€€€€€€€К€€€€€€€€€€РИС... £€€€€€€€€€€€€ПОМОГИТЕ€€€€€€€€€€€€€€€€€ М€€€Н€€Е...,SU€€€€€€€€€€...SIE... £€€€€€€€€€€K€€€€€€€€€€RIS... £€€€€€€€€€€€€AIU€€€€€€€€€€€€€€€€€TO...
,,,
16_2,* Is everyone okay???,* Все живы???,* State tutti bene???
,* Argh... €€€€€€I think so?,"* Агрх... €€€€€€Думаю, да?",* Argh...€€€€€€credo di sì? 
,* i've got to hand it to you three.,* вы трое и вправду протянули мне руку помощи.,* vi devo davvero ringraziare.
,"* because of you, €€€€€€i am but an arm's length away from ascension.","* из-за вас, €€€€€€мое вознесение видно, как на ладони.","* grazie a voi, €€€€€€il potere di un dio è nelle mie mani."
,"* with celestial vigour at my fingertips, €€€€€€retribution will be wrought across the land...","* с небесной энергией на кончиках моих пальцев, €€€€€€возмездие свершится по землям...","* e con questo potere, €€€€€€porterò vendetta e giustizia in questo mondo..."
,* i only need... €€€€€€€€€€€€€€€one... €€€€€€€€€€€€€€€more...,* мне лишь нужно... €€€€€€€€€€€€€€€кое-что... €€€€€€€€€€€€€€€ещё...,* mi serve solo... €€€€€€€€€€€€€€€una... €€€€€€€€€€€€€€€cosa...
,* that light inside you...,* тот свет внутри тебя...,* quella luce dentro di te...
,* are you a star?,* а ты - звезда?,* tu sei una stella?
,,,
text_stats,Kris,Крис,Kris
,Susie,Сьюзи,Susie
,Ralsei,Ральзей,Ralsei
,Handromeda,Дланьдромеда,Mandromeda
,,,
text_items,YolkPudding,Всмятпеканка,TuorloCremè
,_cgHeals£10HP,_cgЛечит£10ОЗ,_cgCura£10PS
,SockageRoll,СосШерсть,Calziccia
,_cgHeals£50HP,_cgЛечит£50ОЗ,_cgCura£50PS
,Starfruit,ЗвёздПлод,Baccastella
,_cgHeals£100HP,_cgЛечит£100ОЗ,_cgCura£100PS
,AmperSandwich,Амперброд,VoltBurger
,_cgHeals£80HP and...?,_cgЛечит£80ОЗ и...?,_cgCura£80PS e...?
,Poundcake,Килоторт,Torta3Terzi
,_cgHeals team£200HP,_cgЛечит£200ОЗ£команде,_cgCura£Squadra£200PS
,BracketPotato,КрошКартош,PortaPurè
,_cgHeals£100HP,_cgЛечит£100ОЗ,_cgCura£100PS
,Bonesmeal,Закостка,RanciOssuto
,_cgHeals£100HP,_cgЛечит£100ОЗ,_cgCura£100PS
,,,
maxTP_text,M£ A£  X,М£ А£  К£   С,M£ A£  X
,,,
other_text,HP,ОЗ,PS
,MERCY,ПОЩАДА,PIETÀ
,DEATH timer:,Время до СМЕРТИ:,Timer MORTALE:
,,,
s_1,Press ,Нажми ,Premi
, in the air to double jump.," в воздухе, чтобы прыгнуть дважды.", in aria per eseguire un doppio salto.
s_2,* Press ,* Нажми ,* Premi
, to fall faster!," , чтобы падать быстрее!", per cadere in fretta!
s_3,CONFIRM,ПОДТВ.,CONFERMA
,CANCEL,ОТМЕНА,CANCELLA
,MENU,МЕНЮ,MENÙ
s_4,* Lasts 3 turns.,* Длится 3 хода.,* Dura 3 turni.
,,,
s_5,spared,щадит,ha risparmiato
,* But it's name wasn't _cyYELLOW_cw.,* Но его имя не _cyЖЁЛТОЕ_cw.,* Ma il suo nome non era _cyGIALLO_cw.
,,,
s_6,* HP went extra up!,* ОЗ дополнительно увеличилось!,* I PS sono aumentati di molto!
s_7,* TP went up!,* ПН увеличилось!,* I PT sono aumentati!
s_8,* DEF went up for 3 turns!,* ЗАЩ поднялась на 3 хода!,* La DIF è aumentata per 3 turni!
,,,
s_9,used the,использует,ha usato
,,,
,,,
,,,
b_check,* HANDROMEDA €€€€€€£* They're in there somewhere. €€€€€€€€€@If you can get them out...,* ДЛАНЬДРОМЕДА €€€€€€£* Он где-то внутри. €€€€€€€€€@Если вы сможете его освободить...,* MANDROMEDA €€€€€€£* È lì da qualche parte. €€€€€€€€€@Se riesci a tirarlo fuori...
b_pacify,* Ralsei cast PACIFY! €€€€€€€€€£* But the enemy wasn't _cbTIRED_cw...,* Ральзей использует УСМИРЕНИЕ! €€€€€€€€€£* Но враг не _cbУСТАЛ_cw...,* Ralsei ha usato CALMA! €€€€€€€€€£* Ma il nemico non era _cbSTANCO_cw...
b_healPrayer,* Ralsei cast HEAL PRAYER!,* Ральзей использует МОЛИТВУ ЛЕЧЕНИЯ!,* Ralsei ha usato CURAZIONE!
b_rudeBuster,* Susie used RUDE BUSTER!,* Сьюзи использует ЯРЫЙ ВЗМАХ!,* Susie ha usato SPACCAFONE!
b_ultimateHeal,* Susie cast ULTIMATEHEAL!,* Сьюзи использует УЛЬТРАЛЕЧЕНИЕ!,* Susie ha usato CURAFINALE!
,,,
b_flavourText,* are you a star?,* а ты - звезда?,* tu sei una stella?
,* You feel the weight of the universe on your back,* Вы чувствуете вес вселенной на вашей спине,* riesci a sentire il peso dell'universo sulle tue spalle.
,* the lighthouse shines in the distance,* маяк сияет вдалеке,* il faro brilla in lontananza.
,* the sky twinkles with freedom.,* небеса сияют свободой.,* il cielo scintilla di libertà.
,"* the ceiling stars, i wish upon you.","* далёкие звёзды, исполните моё желание.","* mi affido a voi, stelle del soffitto."
,* memories of home,* воспоминания о доме,* le memorie di casa.
,* HANDROMEDA raises its fist in anger,* ДЛАНЬДРОМЕДА поднимает свой кулак в ярости,* MANDROMEDA alza il braccio in segno di rabbia.
,* memories of greed,* воспоминания об алчности,* le memorie di avidità.
,* the world of tomorrow ends today.,* мир завтрашнего дня заканчивается сегодня.,* il mondo del domani termina oggi.
,* memories of a stolen world,* воспоминания об украденном мире,* le memorie di un mondo rubato.
,* Hesitation glimmers in HANDROMEDA's eye,* В глазу ДЛАНЬДРОМЕДЫ мелькает сомнение,* L'esitazione brilla nell'occhio di MANDROMEDA.
,* memories of someone wanting to do the right thing,* воспоминания о ком-то кто хочет сделать как правильно,* le memorie di qualcuno che vuole fare la cosa giusta.
,,,
b_flavourText2,* Something terrible is coming...,* Грядёт что-то ужасное...,* Qualcosa di terribile sta arrivando...
, ,,
b_gp,* Susie wished for the safety @of her friends! £ ,* Сьюзи просит звезды защитить @её друзей! £* Они открыли вам удар вниз!,* Susie desidera che i suoi @amici siano al sicuro! £
b_dj,* Ralsei wished for the safety @of his friends! £* You can now perform 2 air jumps!,* Ральзей просит звезды защитить @его друзей! £* Они открыли вам двойной прыжок!,* Ralsei desidera che i suoi @amici siano al sicuro! £* Puoi eseguire 2 salti in aria!
b_w2,* Kris wished for the safety @of their friends!,* Крис просит звёзды защитить @его друзей!,* Kris desidera che i suoi @amici siano al sicuro!
,,,
b_w1,* Everyone wished for their@friends' safe return!£€€€€€€,* Все просят звезды о возвращении@своего друга!£€€€€€€,* Tutti desiderano che il @loro amico torni sano e salvo!£€€€€€€
,* HANDROMEDA is confused...,* ДЛАНЬДРОМЕДА в замешательстве...,* MANDROMEDA è confusa...
,* HANDROMEDA thinks about this...,* ДЛАНЬДРОМЕДА думает об этом...,* MANDROMEDA ci sta pensando...
,* HANDROMEDA trembles...,* ДЛАНЬДРОМЕДА трясётся...,* MANDROMEDA sta tremando...
,* HANDROMEDA starts to remember...,* ДЛАНЬДРОМЕДА начинает вспоминать...,* MANDROMEDA sta iniziando @a ricordare...
,* But nothing happened...,* Но ничего не произошло...,* Ma non è successo niente...
,* But nothing ever happens.,* Но ничего и не произойдет.,* Ma nulla mai succede.
,,,
b_w3,* Everyone wished upon a star!€€€€€€£* Makes no difference who you are...,* Все загадали желание!€€€€€€£* Вселенная хранит молчание...,* Tutti esprimono un desiderio @guardando una stella!€€€€€€£* Non importa chi sei...
,,,
b_actionTextKris,Check,Проверить,Osserva
,Wish,Пожелать,Desidera
,_cgInduce£Å5% Spare£_co50% TP,_cgПрибавляет£Å5% Пощ.£_co50% ПН,_cgInduce£Å5% Pietà£_co50% PT
,_sb_scWishAll,_sb_scПожелатьВсе,_sb_scDesideraTutti
,_cgInduce£Å11% Spare£_co100% TP,_cgПрибавляет£Å11% Пощ.£_co100% ПН,_cgInduce£Å11% Pietà£_co100% PT
,_scHarmonize,_scУспокоить,_scArmonizza
,_cgCalm down£Susie£_co100% TP,_cgУспокоить£Сьюзи£_co100% ПН,_cgCalma£Susie£_co100% PT
,,,
b_actionTextSusie,GroundPound,УдарВниз,SchiantoaTerra
,_cgFall£Faster£_co25% TP,_cgПадать£быстрее£_co25% ПН,_cgCadi Più£In Fretta£_co25% PT
,Rude Buster,Ярый взмах,Spaccafone
,_cgRude£Damage£_co50% TP,_cgУрон£яростью£_co50% ПН,_cgDanno£Cafone£_co50% PT
,UltimatHeal,УльтЛечение,CuraFinale
,_cgBest£Healing£_co100% TP,_cgЛучшее£лечение£_co100% ПН,_cgCura£Migliore£_co100% PT
,,,
b_actionTextRalsei,TripleJump,ТройнойПрыжок,TriploSalto
,_cgJump£Higher£_co25% TP,_cgПрыгай£выше£_co25% ПН,_cgSalta Più£In Alto£_co25% PT
,Pacify,Усмирить,Calma
,_cgSpare£TIRED foe£_co16% TP,_cgПощадить£УСТАВШЕГО£_co16% ПН,_cgRisparmia£STANCO£_co16% PT
,Heal Prayer,Молитва лечения,Curazione
,_cgHeal£Ally£_co32% TP,_cgЛечит£Союзника£_co32% ПН,_cgCura£Alleato£_co32% PT
,,,
b_susieSnap1,"* Susie, €€€€€€you have to calm down!","* Сьюзи, €€€€€€прошу, успокойся!","* Susie, €€€€€€devi calmarti!"
,* You can't do this by yourself...,* Ты не сможешь сделать это в одиночку...,* Non puoi farcela da sola...
,,,
b_susieSnap2,* I don't know what's happening...,"* Я не знаю, что происходит...",* Non so che cosa sta succedendo...
,* But if we want to get through this...,* Но если мы хотим всё исправить...,* Ma se vogliamo cercare di superare questo ostacolo...
,* We have to work as a team!,* Нам нужно действовать сообща!,* Dobbiamo fare gioco di squadra!
,,,
b_susieSnap3,* I know you're scared...,"* Я знаю, ты напугана...",* So che hai paura...
,* I know you care for them €€€€€€@a lot...,"* Я знаю, как он тебе €€€€€€@дорог...",* So che ti preoccupi €€€€€€@tanto per lui...
,"* But, €€€€€€they're our friend too!",* Но он и наш друг!,"* Però, €€€€€€lui è anche nostro amico!"
,* ...,* ...,* ...
,* We can save them together.,* Мы спасём его вместе.,* Insieme potremo salvarlo.
,"* ...€€€€€€You're right, €€€€€€@you're right...","* ...€€€€€€Ты прав, €€€€€€@ты прав...","* ...€€€€€€Hai ragione, €€€€€€@hai ragione..."
,"* Hang in there buddy, €€€€€€@we're coming for you!","* Держись, дружок, €€€€€€@мы идем!","* Resisti amico, €€€€€€@stiamo arrivando!"
,,,
end_good,* I think...,* Кажется...,* Credo...
,* I finally understand.,* Я наконец-то понял.,* Di aver finalmente capito.
,* Do you remember who you were?,"* Ты вспомнил, кем ты был?",* Hai riacquisito la tua memoria?
,"* No, €€€€€€no...","*  Нет, €€€€€€нет...","* No, €€€€€€no..."
,* What you three have shown me was...,"* То, что вы трое мне показали, было...",* Quello che voi mi avete mostrato è...
,* Much €€€€€€€€€more valuable...,"* Гораздо,€€€€€€€€€ гораздо важнее...",* Molto più importante...
,* I'll never have my old memories back...,* Мне никогда не вернуть своих старых воспоминий...,* Non riavrò mai i miei ricordi...
,* But the new memories I made with you?,"* Но новые, что подарили мне вы?",* Ma i ricordi che ho costruito con voi?
,"* ...I've never felt more like myself, €€€€€€then during our time spent together.",* ...Лишь во время нашего приключения€€€€€€ я чувствовал себя по-настоящему собой.,* Posso garantirvi che... €€€€€€quelli non me li scorderò mai.
,* If you can promise me you'll stick together...,* Если вы пообещаете мне держаться вместе...,* Promettetemi che rimarrete uniti...
,* You'll never forget who you are.,"* Вы никогда не забудете, кто вы.","* Così, €€€€€€non dimenticherete chi siete."
,* Here... €€€€€€with my last memories...,* С моими...€€€€€€ последними воспоминаниями...,* Ecco... €€€€€€lasciate che con i miei ultimi ricordi...
